code,CHECK,GUIDELINE,auth_note,c_REVIEW,c_HEUMLE,c_SW,c_WCAG,c_D4ALL,n. papers,important (For average elderly user),touchscreen specific,web specific,general,multimodal,supplementary device/tool,text,font,graphics (icons & images),screen design (appearance),color,customization,navigation,errors,feedback,special needs,data input,element-content,element-interaction,element-size,element-placing
46,"If applicable, is user aware of different navigation oppoturnities?","If multiple paths are possible, explain differences between them",,-,Does the elderly know where is he and what can he do next?,"-Screen layout, navigation and terminology used should be simple, 
clear and consistent
- Provide a site map","-Add a ‘Skip to Content’ link to all pages on your website. It’s best if you make the link visible.
-The easiest way to add a ‘Skip to Content’ link to your website is to use of a great piece of code from the guys on the PayPal Accessibility Team.They produced something called ‘SkipTo’, which adds a link for you. Best of all if you’re using WordPress or Drupal, there are plugins you can use. (source. WUHCAG)
-Adding an HTML sitemap page (which links to every page on your website) and link to it after the ‘Skip to Content’ link from Guideline 15(WCAG); and Including a search function on every page (by adding it to the header); and Providing a clear and consistent main navigation menu.
","-Provide an index bar to navigate to an entry in a list, place the bar on the left edge of the screen for right-handed users. If this design is not acceptable from an aesthetic point of view, the index bar may be better off being removed altogether.",6,y,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n
47,Error/confirmation messages clearly state how to solve the issue?,"-When indicating an error also provide a solution. For confirmation indicate the consequences of the confirmation
-Always provide the cause of an error and in case of a confirmation indicate clearly what the user will confirm",,-,"-Are error messages descriptive, and did they provide a solution to the elderly for recovery?
- Is the elderly aware when the launcher turns off or gets an error that causes it to stop working?
",-,"-Suggest fixes when users make errors
-Clearly identify input errors","-The application should allow recovery from errors in the simplest possible way.
-Ensure that error messages feedback provide mechanisms for resolving the error",7,y,n,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,n
48,On touchscreen devices clickable items are easy to click (In terms of button placement)?,"-Button placements should be customizable to the dominant hand
-Ensure that core buttons are within easy reach of thumb when device held in one hand",,-,Do the items in the elderly interface fit the natural posture of the hand and finger?,-,-,"-For an amplitude of movement of 400 mm we recommend a motion angle of 90° as the lowest error rates occur between 90° and 180° and coevally (in this interval) the movement time is lowest for 90°. Whereas for a smaller amplitude (200 mm) an angle between 20°~40° should be preferred as the error rate remain
-Future designs should focus on model users typing patterns by analyzing touch features (e.g. x and y touch position, distance traveled during touch, key press duration, between keys duration etc.) and therefore increase typing accuracy
-inputs were made usable for right or left-handed older adults by putting the navigation and touch buttons in places that were in natural locations that were easy to reach with either left of right fingers.",5,y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,y
49,"User can customize how (sound/text/audio only, or specific combination) or when feedback is given? ",User can easily turn on or off any form of feedback given,,-,Is there an option to enable them? (auth. note them = audio/haptic feedback),-,-,"-haptic and audio feedback that the user can enable through settings to augment or completely replace the visual feedback
-Provide a possibility to turn off the sound feedback
-Enable manual or automatic settings for the method of feedback to the user 
-Include both feedback and non-feedback modes, for use in treatment and clinical assessment respectively. Feedback on correct/incorrect responses was conveyed with a happy/sad face accompanied by a voice message.",5,n,n,n,y,y,n,n,n,n,n,n,y,n,n,y,n,n,y,n,n,n
53,Is there text alternative to all non-text content?,"-All non-text information has a text alternative
-Users with hearing difficulties might benefit from captioned videos, 
or alternatively from a transcript of the video content",,-,-,-,"-Add a text alternative to your images describing the image
-For video and audio, add a short description of the media but ideally provide a transcript
-Where a control or input field is non text, add a name
-Provide a full text transcript for your video and link to it from near the original content","-Provide text alternatives for any non-text content so that it can be changed into other forms people need, such as large print, braille, speech, symbols or simpler language.
-Make sure that images and icons have an alternative text (alt attribute)
-Provide text alternatives for non-text content that serves the same purpose.
-Event: the noise of the environment changes to a value higher than 25 decibels. Condition: the user has a mild deafness disability. Action: every video has to be changed to a video with subtitles",7,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n
54,Can the system be controlled with a keyboard?,"-In terms of programming: Clean html & css website is easier avenue to provide support for traditional keyboards.
-If traditional keyboard support is required/used, ensure navigation works on all pages & elements are highlighted under focus
",,-,-,-,"-A clean HTML and CSS website will often have keyboard accessibility without further work ~a great example of why you need to invest in web design and development from the outset
-Test your website to make sure you can navigate away from, as well as to, all parts of your website by keyboard only.
-Make sure all navigation is controllable by either the ‘Tab’ or arrow keys, which is a standard many people are familiar with.
-Use CSS to apply a visual aid to keyboard focus – a border and/or underline is best.
",-,6,n,n,y,y,n,y,n,n,n,n,n,n,y,n,n,y,y,y,y,n,n
56,Clickable items do not require double clicking?,Do not require user to double click,,-,-,-,,"-Use Single Touch if there is a need of including all types of older users
-Avoid scrolling and requiring double click
-Features such as double tapping and scroll bars should be avoided for touch screen use
-Use single mouse clicks",4,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
58,Keypad on touchscreen devices is split between text & numbers? ,"Only show buttons relevant for current input.
 "," Note that most touchscreen devices already do this, if input field is correctly encoded",-,Is the keypad separated into numbers and letters for data entry?,-,-,"-Separate keypads for numbers and letters
-In case of virtual keyboards on small screens, split the alphabet into several sections or menus",4,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n
59,Interactable elements give a clear indication of being interactable and their purpose?,"-It should be clear from its appearance when the user can use an element for interaction. For instance, highlighting buttons with a border, or traditional rectangular buttons are recommended as these are common 
-Any button or otherwise interactable element should be labeled to state its purpose
-The interactable element can be an icon or image, but it must always be used solely for this purpose
",,-,"-Is it obvious which item is clickable and which is not?
- Is the image on a button or an icon easy to predict what does it do?
- Are buttons large enough to easily see the image or text on them?
- Are the icons familiar to the elderly?",-,-,"- Give clear evidence to active areas so that users can locate them more easily;
- Every interactive element must properly describe their purpose for assistive technology users.",8,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
60,"On touchscreen devices, if gestures are used does the system responds smoothly to them?","Responce to gestures should be fast and smootly, irrelevant of device model. Smooth & fast meaning that no lagging, or losing of input information",,-,Do gestures of launcher work correctly and smoothly,-,-,"- Slow down the rate at which virtual objects adjust based on subtle hand movements, particularly during resizing and rotating actions.
- Make gesture recognition flexible, allowing greater variation in form and execution speed
- Make the touch screen startable in any position on the screen",4,y,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
61,"If a button is pressed multiple times within a short time period, it is only registered as once click?","Avoid that multiple rapid clicks or taps are register as different events, except for cases where this might be counterintuive 
(such as increasing numbers, or zooming)",,-,-,-,-,"-Provide an adjustable delay of button response to ensure that multiple touches can be treated as one touch
-Make it possible to hold they key up to 2 s before the action will repeat 
-Omit touch interactions that are below a certain threshold 
-Delay and feedback when pressing a button. The touch screen buttons react too fast.",4,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
62,User can distinguish between visited & not visited links?,Change color or boldness/color of a visited link,,-,-,- The reader should be able to clearly see which links have been visited and which have not,-,"- Maintain link underlined.
- Make difference between visited and unvisited hyperlinks
-Change the color of the visited links",4,y,n,n,y,n,n,n,n,n,n,y,n,y,n,y,n,n,n,y,n,n
63,"On touchscreen devices, are the gestures used taking users with disabilities into account?","-Using gliding for selection, though very situational, might make the task easier for the user
-Crossing & tapping likely outperform most other gestures
-For visually impaired users, ensure they understand names of gestures, terms such as ""crossing"" might not be clear",,-,-,-,-,"-Make selections using gliding gestures for direct manipulation
-Physical disabilities could especially cause problems when interacting with larger touch screens or complicated gestures
-For the 12 and 17 mm targets, use Crossing and Tapping over Directional Gestures, which are significantly more inaccurate. Even when considering small targets, Gestures do not outperform any of the remaining techniques, thus showing no gain in its usage.
-Create a standard gesture vocabulary for the visually impaired ",4,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
64,"If a system has several modes, is the user aware of the one currently active?","-Before changing a mode, ask the user to confirm the mode change with clear information on what is changing
-After changing mode, give feedback on succesfully doing so and how to revert it, if need be (preferably with undo button included in the feedback)
-Show clearly, e.g. with a labelled icon, the currently active mode",,-,"-Does the graphical interface design and the organization help prevent errors?
-Provide an indicator of ringing or vibrating mode",-,-,"-If a multi-mode design is needed, provide an explicit feedback about mode-changes and a display of the current mode. The indicators of mode changes should be persistent and large, since the elderly users may fail to notice short alerts or small changes in the look-and-feel.
-Some elderly users are less likely to notice changes of the modes and can become confused. Avoid multimode interfaces for applications as much as possible.
",4,y,n,n,y,n,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n
67,"Clear instructions are available for more novel gestures (drag & drop, pinch, etc)?","-User may not remember any novel gesture
-Ensure instructions are available for any ""complex"" gesture, such as : drag & drop or pinchin are visible always
-Also some users might make assumptions on how to perform the gesture, provide sufficient feedback for erroneus behaviour",,-,-,-,-,"- provide instructions and clear visual clues to show which gesture invokes which function
- provide a more explicit cues for interaction to help facilitate initial learning and perhaps subsequent use of the technology. For example, if users do not immediately know whether an object is selectable, dragable, resizable, and/or rotatable, indicating this functionality visually would aid usability
- Do not reuse or enable for touch interaction  without appropriate adaption existing interfaces due to a different accuracy and touch target size of finger and mouse
- Rely on familiar aspects of manipulating physical photographs",4,y,y,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n
68,There are no unnecessary animations or moving elements?,"Avoid unnecessary animations (e..g., animated images, moving text) or moving graphics",,-,-,No animation should be present,-,"- Avoid animation e.g., animated images, moving text
- Use static menus, and avoid fly out or pulldown or dropdown menus",3,y,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n
69,No uncommon symbols or special characters are used?,"Avoid special symbols or numerals, or hyphens",,-,-,-,-,"- Don’t hyphenate words at the end of phrases
- Avoid abbreviations and symbols
- Avoid Roman Numerals",3,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n
70,System allows multimodal interaction (e.g. voice commands)?,Possibilities are:- Speech to text- Speech commands- Speech menu with volume control- Support keyboard gazing input,,-,-,-,-,"-providing multimodal interaction to accommodate users’ social, physical and intellectual differences.
-Participants could employ a speech-centric multimodal interface to use a map-based information service, while they could neither use text only nor speech only
-Implement a volume control of the voice technology for the visually impaired who are also hearing impaired.
-Make an identification of the status of all locking or toggle controls or keys accessible visually as well as by touch
-Scanning ambiguous keyboards shows the best performance among the scanning text input.
-Utilize the speech to text or dictation mode for typing
-Use acoustic models dedicated to seniors for the speech recognizer",8,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
71,"On touchscreen devices, interactable elements are not clipped directly to edges?","Avoid placing interactable items near the edges of a screen in a touchscreen device, as the user might accidentally click them.",,-,-,-,-," -Overall, when designing new touch interfaces, Edges should be handled carefully.
-When placing targets near edges or corners, be careful selecting their size and interaction technique, due to physical restrictions imposed by the device. Although screen barriers offer physical stability, they can also restrict users' movements. For instance, results have shown that acquiring mid screen targets (Crossing) is easier than towards screen barriers (Exiting).
-Do not use wide space between related information: When related information is shown on the screen, this information should be shown closer on the page in order to make this relationship visual too.",3,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y
72,"On touchscreen devices with small screen, do simple gestures replace buttons?","On very small screens, gestures can replace buttons as long as it is clear to users and they can revert back to buttons easily",,-,-,-,,"-On the other hand, when targets are small (7 mm), Tapping techniques should be avoided near Edges and instead make use of Directional Gestures (for able-bodied)
-Regarding Task Errors, screen areas did not affect users’ performance. However, corners and edges allow users to tap targets more precisely, and perform directional gestures less erroneously. Consider that support from screen barriers, indeed, offers physical stability. 
-Regarding Edges, Tapping is a better choice, since performing a particular Directional Gesture at this screen area may be difficult for tetraplegic users.",3,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
74,"On touchscreen devices, more complex gestures can also be performed with buttons/ other gestures?","Provide alternatives such as buttons for complex gestures, as not all users might find them intuitive to use",,-,-,-,-,"Consider that for older adults, sometimes there is a belief that their fingers have to operate in the area to be enlarged, a belief that may have formed given the subjects’ difficulty in accurately aligning two fingers and touching the area to be enlarged at the same time in a small screen (4.3''.).",3,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
75,"On touchscreen device, is varied haptic feedback provided? ","Varied haptic feedback could be:
- Vibrating only the area being touched, instead of whole device
- Different vibration for different feedback",,-,-,-,-,"-Make a user vibration feedback localized to the hand or touching/activation finger rather than vibrating the entire device
-Use small high-speed displacements for the user vibration feedback to provide strong and easily detectable sensation (above threshold)
-Provide a force feedback as vibration or locking a virtual pointer movement when she/he touches the virtual boundary.",3,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
76,Is slower speech for users with cognitive disabilities possible?,- Either make it possible to customize the speed of audio or provide a slower version for users with cognitive disabilities. Alternatively 140wpm & small pause between words can also make content more easy to follow,,-,-,-,"-Provide an extended audio described version of a video’s soundtrack, selectable by the user; or
-Provide an alternative version of your video with extended audio description.
","-Use speech speed of 140 wpm
- Make a pause of some seconds after each spoken sentence",3,n,n,n,y,y,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n
77,"When leaving the system if a task is only partially completed, is the user warned and can the user resume the task? ","If a form or task is partially done when user exits system, the user should be notified, asked whether the state should be saved, or whether he wants to resume and finish the task ",,-,-,-,"-When you ask a user to re-authenticate their identity, the user can continue exactly as before with saved data (for example, their shopping basket contents, input into forms or accessibility options).
-Things like surveys and questionnaires can be saved and completed at a later date.
","-When a user loses contact with a virtual object (for instance, contour following), make a system ask her/ him whether she/he would like to rely on automatic guidance to go back to the previous position of the object.
-When the touch is lost during dragging, the object should stay where it has been left.",3,y,n,n,y,n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,n
78,Elements do not flash?,"Avoid flashing elements, either in videos, or simply page loading sequence. If this is impossible for any reson to avoid having flashing elements, give an epilepsy warning before entering the system",,-,-,-,No content flashes more than three times per second,-,2,y,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n
79,Page titles are clear and helpful?,Ensure page title is bigger than the main text and made bold,,-,-,-,"-In many cases, it makes sense to repeat the page title or a variation of it as the top heading on your page.
-Type all of your page titles into a spreadsheet and review them. If they make sense out of context, they will work on your website.Use these page titles in your sitemap",The page title was made bold,2,n,n,n,y,n,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n
80,Interface language is easy to change?,User can easily change current interface language of the system,,-,-,-,"-Page has a language assigned
-Tell users when the language on a page changes",-,2,n,n,n,y,n,n,y,n,n,y,n,y,n,n,n,n,y,y,n,n,n
81,"If unusual words are used, are they explained?",explain any unusual word,,-,-,-,-,-,2,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n
84,Amount of navigation links in a single page is not excessive?,"Avoid cluttering view with multiple navigtion destinations. Categorize them as much as possible, without making hierachy too much nested",,-,,"-Do not have a deep hierarchy and group information into meaningful categories
-Links should be in a bulleted list and not tightly clustered",-,"-Provide a maximum of 6 links in the menu
-Provide the fewest possible of choices to users",2,y,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n
85,"If a single element is made larger, do others follow? Larger text ~> larger buttons",Ensure that the design is responsive to the screen size. On a bigger screen space all elements become larger. On a smaller screen elements shrink up to a certain point and are reorganized to maintain legibility,,-,Do buttons and icons enlarge when the rest of the text size is increased?,-,-,Use adaptive algorithms to counteract these problems by resizing touch targets,2,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,y
86,"Secondary functions (such as customization, settings, etc) are easy to find?","-Secondary functions should be out of the way, but also not hidden, second or third tier selection is acceptable, such as:  from settings to customize contrast 
-If only one or two secondary functions are present then showing them along primary function may be acceptable.",,-,-,-,-,"-Ensure that the volume controls is in a facile to find emplacement
-where possible all menu items should be displayed on the one page. Waloszek (2000) advises that different menu groups (e.g. main menu and secondary menu) should be differentiated by their shape and style
",2,y,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y
87,Any numerical data is presented clearly?,Show any numerical data as clearly as possible:-Numerical data can be more clearly presented as graphs or charts (if applicable) -Avoid roman numerals,,-,-,-,-,"-When possible, give alternative representations to numerical content e.g., charts and graphs
-Avoid Roman numerals",2,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n
88,Navigation destination is consistent? ,"A single navigation link should always points to same destination, irrelevant of the view it is being clicked in ",,-,-,Links should be clearly named and no link with the same name should go to a different page,-,"Ensure that navigation is consistent throughout the website or application e.g., similar fonts, colors and sizes, the use of the same set of buttons menu in the same place on each screen, the use the same symbols and icons throughout the website/ application, consistent hyperlinks",2,y,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n
89,"If a user submits something, a review page is provided?","Always provide a summary of the information a user is submitting, with an option to easily change it, proceed, or undo the submission",,-,-,-,-,"-Easy reversal of actions. Review page provided easy reversal of actions.
-Informative feedback. Two ways for verification, a prompt and a sub review message were provided.",2,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n
91,Is it easy to access a screenreader?,Either suggest or provide screen reader technology to users requiring it,,-,-,-,-,Provide an easy access to screen reader technology,2,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n
92,"On touchscreen devices, can a stylus be used?",Supporting stylus interaction can make device & system more accesible to a group of users who find interacting by touch too difficult,,-,-,-,-,Enable interaction through a stylus.,2,n,y,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n
93,"On touchscreen devices, is it possible to use OS-based assistive tools?","Enabling OS specific assistive tools, or developing the tool with this in mind can make a touch device system more accessible",,-,-,-,-,"-Use assistive Touch on iOS to perform multi-touch gestures
-Implement the ability for the interface to allow whole-handed and multifinger input. This is particularly important for individuals with hand tremors or arthitis.",2,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n
94,Video content has audio description version?,"Provide video with audio descriptive track and/or sign language version 
",,-,-,-,-,-,2,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n
95,Audio content is not played automatically?,"Have audio on by default, but do not play any material automatically ",,-,-,-,-,The default setting of the audio output was turned on.,2,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
96,User can move elements?,"Allow moving elements, or changing the layout",,-,-,-,-,-,1,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n
97,Errors not caused by the user are not reported as a regular error?,Any error that is not resulting from user behavior should not be shown to user as a regular error,,-,-,-,No major code errors,-,1,y,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n
98,Website conforms to HTML standards?,"Check your site using an HTML validator. Ensure plugins/libraries used, use valid HTML code. This does not directly affect usability, but ensures that the website supports a wider range of accessibility tools",,-,-,-,Build all elements for accessibility,-,1,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
99,Buttons are more wide than high?,Rectancular buttons are preferable over purely square shaped buttons,,-,-,-,-,Width rather than height. Whenever possible keys should be wider instead of taller.,1,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n
100,"On touchscreen devices, gestures can be turned on/off or adjusted?","Allow gestures to be adjusted, or turned off",,-,-,-,-,Support the ability to disable or enable various gestures to match the skill level of the user,1,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n
101,"On touchscreen devices, if gestures are used, is it possible to practice using them?","Offer a tutorial where gestures can be experimented with, without worrying about ""breaking anything""",,-,-,-,-,Provide a training mode that teaches the user about each available gesture,1,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
103,Feedback messages use an encouraging tone?,"Feeback messages should be useful for the user and supporting the user in performing the tasks and crongratulate them once this is done
",It is also important that this feedback does not come off as condecending to the user,-,-,-,-,Provide encouraging feedback message to allow the user experience some level of success,1,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n
104,Feedback messages are presented at the center of the application window,"Feedback/confirmation messages should appear in the center of the screen, and adequetely block the current view to avoid distractions.
"," This does assume relatively low level of feedback. If the system provides actively feedback (notifications an reminders), having every single of these block the view woud become detrimental to the user experience.",-,-,-,-,Increase the exposure time of temporary posts and position them in the middle of the interface,1,y,n,n,y,n,n,n,n,n,y,n,n,n,y,y,n,n,n,n,n,y
105,Tasks with more than one step have a progress indicator? ,"- Provide clear indication of user progress for a task, e.g. in percentage, 1 out of x style; do not start at 0. 
- Show smooth, linear progress; not erratic bursts of progress
- Also show time left",,-,-,-,-,"Provide a clear indication of progress and performance. By using a typical progress bar, it could flexibly accommodate variation in the number of exercises without adding extravisual distractions. For overall performance, a percentage is deemed to be easy to understand for people with aphasia.",1,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n
107,Summaries of larger information sets are provided?,Provide summaries when a view contains several paragraphs of text,,-,-,-,-,-,1,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n
108,Search field is placed either top right or left corner of the view?,Search fields normally are in either top corner of systems. Users are likely to search one there.,,-,-,-,-,Place the search field in the upper right or upper left side of the screen,1,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y
109,Images & Icons are large enough?,Images and icons should be large enough for user to be able easily identify them,,-,-,-,-,Provide large images and icons,1,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n
110,Confirmation window's buttons are not directly aligned with their call button?,"Ensure that user cannot accidentally confirm something,  by making sure that any confirmation button will not appear in the same location as the button that launched it",,-,-,-,-,"An user is likely to make a mistake in computing by clicking ‘‘OK’’ on the dialog ‘‘Are you sure you would like to quit the program without saving?’’ She/he does not pay attention to two buttons between ‘‘OK’’ and ‘‘CANCEL’’ when the two buttons are identical in terms of size, color, and so on, and the two buttons are also placed right next to each other",1,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y
111,Device can be secured with a cable?,"For some specific users, providing a cable to secure the device can protect the device from accidental dropping or theft",,-,-,-,-,-,1,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n
112,Accidental button press cannot directly close the system?,"Make sure that an accidential button press cannot directly close the system, or if this is not possible, such as some touch screen devices, the system should save its current state and offer to return to this when being re-activated",,-,-,-,-,"On iOS, use Guided Access to lock the device into one application for people who accidentally activate controls and may switch applications unintentionally.",1,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,,n,n,y,n,n
113,"On touchscreen devices, when dragging gesture is used, is preference given to vertical movement?","Downward movement was found by a study to be easier for users, when using dragging gestures; therefore vertical movement for dragging should be prefered",,-,-,-,-,"For Dragging for both younger and older Right-handed adults - Design dragging tasks to have a bias, as much as possible, toward right and downward movements. Usability Improvement: Satisfaction ~ For tasks that require long distance dragging (>310 mm), provide alternative controls (e.g., a “Back to Top” button). Usability Improvement: Error, ease of performance, satisfaction",1,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
114,One element only supports one form of interaction?,"-Apply the principle: one function, one job. 
-Avoid hiding additional functions into a single interactable element",,-,-,-,-, Do not overload the same object with actions performed by a tap and by a drag gesture,1,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
115,Questionnaires use the multiple-choise style?,"When asking eldelry people to answer questionnaires, three-choice questionnaire was found to be effective",,-,-,-,-,"The most effective question type used in this study was a question with three multiple choice answers, each illustrated by clip~art of a photograph. Photos or clip~art images are less useful for answer choices containing numbers or non referring words. We believe the benefit of clip~art/photos arises from their helping participants understand the answer choices",1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n
117,Physical button is provided when needed?,"In very specific use cases, the user might require physical buttons specifically intended to work with the system",,-,-,-,-,"Use a push button to effectively deal with deactivated buttons in the virtual space; after a push button is pushed down, the push button should return to the original height. Even if a button is deactivated, the button can still be used as a reference point for users with visual impairments in the virtual space via a sense of touch. Those buttons should not be disappeared.",1,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
118,No distracting sounds are used?,"Avoid poor quality sound (loud background noise, etc)
","Very situational, but generally if possible avoid providing poor quality sound in the system, but if this unavoidable, it is likely to be better than no sound support at all",-,-,-,-,Remove background music or sound distractions,1,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
119,Internal system gestures do not interfere with potential gestures introduced by common assistive technology?,Ensure that gestures used do not cause issues with the devices own assistive software,,-,-,-,-,Avoid joint use of applications’ own gestures and the system screen reader,1,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
120,Cursor is always visible?,"Ensure that the cursor (if used) does not ""dissapear"" while the system is being used",,-,-,-,-,-,1,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
121,"On touchscreen devices, no interation is required when user is moving (walking)?","If possible, detect when user is moving and avoid any distracting functions. 
",This is rather situational something that should not become annoying in itself. Such as using the system while commuting is acceptable,-,-,-,-,"Address physical factors, such as the weight of the device and dexterity issues of this population, and account for limitations in the mobility of the appliance, e.g. users may not be able to use the appliance while walking.",1,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
122,Information that is only meant for screen readers or other assistive technology is not generally visible?,Content intended for only certain assistive tools can be distracting for users who do not need them,,-,-,-,-,"The use of information, which is only visible for screen readers, will help people with visual impairments to interact with the system. Don’t hide interactive components visually but not for keyboard and screen reader users.",1,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n
124,"On touchscreen devices with a custom launcher, normal supplementary device information (time, date, signal type/strength) is always visible?","In case of custom launchers, device should always provide basic status info, such as: time, date, battery, signal strength",,-,-,-,-,"Does the launcher show level of battery, time and date, signal of contact, wifi/3g",1,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n
126,Returning to default system state is easy?,"Allow easily resetting customs gestures ,etc",,-,-,-,-,-,0,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n
127,"In case of a service providing system, the user can contact the service provider for assistance?","User should be able to ask for assistance, e.g. by chat or a ""help"" option 
"," Chat is likely to be somewhat challengin to some elderly users. Some novel methods might also be viable, such as remote control, automated help for the core functionality, providing direct access to functionality, activating a help tool, or simply by calling or arranging a personal visit",-,-,-,-,-,0,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
128,All video content has a resolution that is high enough?,Ensure that the resolution of video content is high enough so that the video content is also viewable on larger screens in good quality,,-,-,-,-,-,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n